rtt_mean,rtt_var,rssi_mean,rssi_var,gmm_mean_1,gmm_mean_2,gmm_var_1,gmm_var_2,gmm_weight_1,gmm_weight_2,label
1.895,0.783975,42.0,0.0,2.767349020233804,1.6176279880265216,0.6869302219714258,0.4959322304925677,0.24125157686379758,0.7587484231362025,2
1.83,0.9111000000000001,42.64,0.23039999999999997,2.1817495552880573,0.8581135651575553,0.7084044526164781,0.18472908777589878,0.7342550686814013,0.26574493131859867,2
1.78,0.7016,42.92,0.8435999999999999,2.2602491175933506,0.8935807362654125,0.37025620207059534,0.10173910436917896,0.6485986475177592,0.3514013524822408,2
1.9,0.88,42.43,0.25510000000000005,2.352940868481936,1.0,0.7100743038740951,1e-06,0.6652175427369896,0.33478245726301037,2
1.84,0.8543999999999999,42.52,0.24959999999999993,0.8744956197749737,2.4096348823398044,0.12443648204419912,0.4106015891124849,0.3710639785136427,0.6289360214863573,2
1.9,0.72,42.0,0.0,1.5528377319026319,2.999999999999995,0.44483434927520954,1e-06,0.760108264463118,0.239891735536882,2
1.88,0.8456,42.295,0.30797499999999994,1.6249678458543535,2.8557174710384388,0.5816427516234296,0.6546045515288812,0.792783073886779,0.20721692611322085,2
1.875,0.749375,42.43,0.3551,1.0,2.2959064087720877,1e-06,0.5643969617488193,0.3247969189155471,0.6752030810844529,2
1.91,0.9519,42.0,0.0,1.8267176756442896,4.465929767912167,0.6975721621330206,2.0115977274687915,0.9684442472055581,0.03155575279444199,2
1.89,0.9078999999999999,42.325,0.279375,1.4797514208618985,2.999999999999999,0.6197749507416763,1e-06,0.7301437509840046,0.2698562490159955,2
1.845,0.790975,42.76,0.21239999999999992,1.5194894841149544,2.999999999999997,0.5319725961249826,1e-06,0.7801363027195671,0.2198636972804329,2
1.925,0.7193750000000001,42.56,1.0064000000000002,2.3210989490944636,1.0,0.5041373178623478,1e-06,0.7001746543164189,0.2998253456835811,2
2.015,0.7147749999999999,41.995,0.004975000000000002,2.390162292951589,1.0,0.4574332487142268,1e-06,0.7301305791030748,0.26986942089692517,2
1.88,0.8256,42.38,0.6356000000000002,1.0,2.2936598195133397,1e-06,0.6785540341282422,0.31975934729808086,0.6802406527019191,2
1.93,0.9250999999999999,41.98,0.03959999999999999,0.8627709933860104,2.167838431934282,0.2643483407435248,0.7619585289902683,0.1822422542384855,0.8177577457615145,2
1.88,1.0456,42.525,0.259375,1.0,2.3031465725098914,1e-06,0.9969540582466361,0.32471141883518034,0.6752885811648197,2
1.935,1.0607750000000002,42.0,0.0,1.6088895096677789,3.111865906336272,0.5485539233394162,1.1404787888977586,0.7830235451101697,0.2169764548898303,2
1.89,0.9079,41.99,0.019899999999999994,2.289344706443202,1.0,0.8003844874651417,1e-06,0.6902731252181278,0.30972687478187216,2
1.865,0.9167749999999999,42.0,0.0,2.2530855216792482,1.0,0.8417862228676152,1e-06,0.6902960612303797,0.3097039387696202,2
1.925,1.0093750000000001,42.015,0.04477500000000001,1.8044454897481097,2.3529444065127842,0.753491179670429,1.6829889045772912,0.780210121538642,0.21978987846135808,2
1.97,0.7890999999999999,42.005,0.004975000000000002,1.0,2.356278925796101,1e-06,0.5794389307271994,0.28480788018538894,0.7151921198146112,2
1.845,0.7209749999999999,42.59,0.28190000000000004,0.8590309720298958,2.331957522720809,0.14124911001463258,0.29004304982792617,0.33060543480080085,0.6693945651991992,2
1.86,0.7404,42.31,0.3439000000000001,1.509989374244005,2.999999999999997,0.44620413911864093,1e-06,0.7650952149563307,0.2349047850436693,2
1.96,0.7984,38.52,0.24959999999999993,1.6092732799456648,2.9391927510918285,0.4414866626005393,0.4926214334818166,0.7362797314697043,0.2637202685302958,3
1.92,0.7335999999999998,38.355,0.24897499999999997,1.5213429970730308,3.0960551040453073,0.3238835505546049,0.090336680605996,0.7468381673311235,0.2531618326688765,3
1.99,0.7299,38.0,0.0,1.7269362027997641,2.82617279924792,0.4946007130944709,0.558673152086367,0.760685008077202,0.23931499192279812,3
1.83,0.7111000000000002,38.34,0.22440000000000002,2.351238383404352,0.8915049397804726,0.2878934125479169,0.1031379796701224,0.6429222159147454,0.3570777840852546,3
1.915,0.707775,38.02,0.019600000000000003,0.8915331429066303,2.3802716046280468,0.1030750072929723,0.2900074484355413,0.31252742949225587,0.6874725705077441,3
1.97,0.8691,38.41,0.2419,1.0,2.3657751509482368,1e-06,0.6831675084093422,0.2897806060342038,0.7102193939657963,3
1.915,0.827775,38.98,0.019600000000000006,2.321658463694624,0.8839372907396409,0.524159480044269,0.11520019666934722,0.7171506747314498,0.2828493252685501,3
2.0,0.87,39.0,0.0,1.6598540257854153,2.843153661357902,0.4987151884061514,0.7926406536019627,0.7125445119823589,0.2874554880176412,3
2.0,0.58,38.96,0.0384,1.6302352342244033,2.9999999999999973,0.28797381636516806,1e-06,0.7300523600735004,0.2699476399264996,3
1.895,0.713975,38.7,0.20999999999999994,1.5366012324999636,3.0000000000000013,0.4210683188744606,1e-06,0.7550915201928872,0.24490847980711283,3
1.995,0.674975,38.015,0.014775000000000003,0.9083430648246961,2.386653228803241,0.08597732496939058,0.30827813580438884,0.26493305555661706,0.7350669444433829,3
1.91,0.7019,38.705,0.217975,3.000000000000004,1.5753780265507875,1e-06,0.4406693151684309,0.23488474815466145,0.7651152518453386,3
1.99,0.8299,38.98,0.03959999999999999,2.949116790487714,1.6388454252163127,0.5134400167045118,0.48565681364399904,0.26800141107483655,0.7319985889251636,3
1.885,0.8117750000000001,38.87,0.11309999999999999,2.2528632219956655,0.8654845740050225,0.5427951316332189,0.1427897519485187,0.7348501632712539,0.26514983672874615,3
1.99,0.6298999999999999,38.0,0.0,2.394244662889286,1.0,0.3234908071277239,1e-06,0.7100618896746785,0.28993811032532146,3
1.98,0.6596000000000001,38.155,0.13097500000000004,1.670417544641205,2.86097362036838,0.3969842040349237,0.35807673190093053,0.7399681865722237,0.26003181342777626,3
1.935,0.760775,38.91,0.08190000000000001,2.325871870194161,1.0,0.5605680006914237,1e-06,0.7051963474140817,0.2948036525859184,3
1.975,0.704375,38.24,0.18239999999999998,1.0,2.3538897620376362,1e-06,0.4651245955032973,0.27985274182692765,0.7201472581730723,3
1.94,0.7563999999999999,38.5,0.25,2.3620004233907697,1.0,0.5212119045140706,1e-06,0.6901613126226664,0.3098386873773336,3
1.995,0.8749750000000001,38.98,0.03959999999999998,2.7657059183721207,1.7081680418637362,0.7050806335225085,0.6348699319148176,0.2712261797026871,0.7287738202973129,3
1.83,0.7111,38.355,0.228975,2.3089323420454875,0.8728637890782944,0.316465291797244,0.12525894801117712,0.6664975769743553,0.3335024230256447,3
1.98,0.7296,38.245,0.184975,1.0,2.4098466353899792,1e-06,0.44359960121941583,0.3048889323136051,0.6951110676863949,3
1.93,0.7950999999999999,38.995,0.024974999999999997,2.337741745579159,1.0,0.5982451163944013,1e-06,0.6952014490639742,0.3047985509360258,3
